iso3c,area_code,area,region,EU27
SCG,186,Serbia and Montenegro,OECD Europe,FALSE
KNA,188,Saint Kitts and Nevis,Central America,FALSE
LCA,189,Saint Lucia,Central America,FALSE
VCT,191,Saint Vincent and the Grenadines,Central America,FALSE
STP,193,Sao Tome and Principe,Western Africa,FALSE
SAU,194,Saudi Arabia,Middle East,FALSE
SEN,195,Senegal,Western Africa,FALSE
SLE,197,Sierra Leone,Western Africa,FALSE
SVN,198,Slovenia,Eastern Europe,TRUE
SVK,199,Slovakia,Eastern Europe,TRUE
SGP,200,Singapore,South East Asia,FALSE
SOM,201,Somalia,Eastern Africa,FALSE
ZAF,202,South Africa,Southern Africa,FALSE
ESP,203,Spain,OECD Europe,TRUE
SUR,207,Suriname,South America,FALSE
TJK,208,Tajikistan,Former USSR,FALSE
SWZ,209,Eswatini,Southern Africa,FALSE
SWE,210,Sweden,OECD Europe,TRUE
CHE,211,Switzerland,OECD Europe,FALSE
SYR,212,Syrian Arab Republic,Middle East,FALSE
TKM,213,Turkmenistan,Former USSR,FALSE
TWN,214,"China, Taiwan Province of",East Asia,FALSE
TZA,215,United Republic of Tanzania,Southern Africa,FALSE
THA,216,Thailand,South East Asia,FALSE
TGO,217,Togo,Western Africa,FALSE
TTO,220,Trinidad and Tobago,Central America,FALSE
OMN,221,Oman,Middle East,FALSE
TUN,222,Tunisia,Northern Africa,FALSE
TUR,223,Turkey,Middle East,FALSE
ARE,225,United Arab Emirates,Middle East,FALSE
UGA,226,Uganda,Eastern Africa,FALSE
SUN,228,USSR,Former USSR,FALSE
GBR,229,United Kingdom,OECD Europe,FALSE
UKR,230,Ukraine,Former USSR,FALSE
USA,231,United States of America,USA,FALSE
BFA,233,Burkina Faso,Western Africa,FALSE
URY,234,Uruguay,South America,FALSE
UZB,235,Uzbekistan,Former USSR,FALSE
VEN,236,Venezuela (Bolivarian Republic of),South America,FALSE
VNM,237,Viet Nam,South East Asia,FALSE
ETH,238,Ethiopia,Eastern Africa,FALSE
