Element
Primary (1 years)
Secondary (1 years)
Primary (5 years)
Secondary (5 years)
Primary (10 years)
Secondary (10 years)
Primary (20 years)
Secondary (20 years)
Primary (50 years)
Secondary (50 years)
Primary (100 years)
Secondary (100 years)
Emissions (CH4) (Fires in organic soils)
Emissions (CO2) (Fires in organic soils)
Emissions (N2O) (Fires in humid tropical forests)
Emissions (CH4) (Fires in humid tropical forests)
