area_code,area,item_code,item,comm_code,comm_group,group
1,Armenia,2592,Sunflowerseed Cake,c083,Oil cakes,Crop products
1,Armenia,2593,Rape and Mustard Cake,c084,Oil cakes,Crop products
1,Armenia,2594,Cottonseed Cake,c085,Oil cakes,Crop products
1,Armenia,2595,Palmkernel Cake,c086,Oil cakes,Crop products
1,Armenia,2596,Copra Cake,c087,Oil cakes,Crop products
1,Armenia,2597,Sesameseed Cake,c088,Oil cakes,Crop products
1,Armenia,2598,"Oilseed Cakes, Other",c089,Oil cakes,Crop products
1,Armenia,2655,Wine,c090,Alcohol,Crop products
1,Armenia,2656,Beer,c091,Alcohol,Crop products
1,Armenia,2657,"Beverages, Fermented",c092,Alcohol,Crop products
1,Armenia,2658,"Beverages, Alcoholic",c093,Alcohol,Crop products
1,Armenia,2659,"Alcohol, Non-Food",c094,Ethanol,Crop products
1,Armenia,2661,Cotton lint,c095,Fibre crops,Crop products
1,Armenia,866,Cattle,c096,Live animals,Livestock
1,Armenia,946,Buffaloes,c097,Live animals,Livestock
1,Armenia,976,Sheep,c098,Live animals,Livestock
1,Armenia,1016,Goats,c099,Live animals,Livestock
1,Armenia,1034,Pigs,c100,Live animals,Livestock
1,Armenia,2029,Poultry Birds,c101,Live animals,Livestock
1,Armenia,1096,Horses,c102,Live animals,Livestock
1,Armenia,1107,Asses,c103,Live animals,Livestock
1,Armenia,1110,Mules,c104,Live animals,Livestock
1,Armenia,1126,Camels,c105,Live animals,Livestock
1,Armenia,1157,"Camelids, other",c106,Live animals,Livestock
1,Armenia,1140,Rabbits and hares,c107,Live animals,Livestock
1,Armenia,1150,"Rodents, other",c108,Live animals,Livestock
1,Armenia,2848,Milk - Excluding Butter,c109,Milk,Livestock products
1,Armenia,2740,"Butter, Ghee",c110,Milk,Livestock products
1,Armenia,2744,Eggs,c111,Eggs,Livestock products
1,Armenia,2746,Wool (Clean Eq.),c112,"Hides, skins, wool",Livestock products
1,Armenia,2731,Bovine Meat,c113,Meat,Livestock products
1,Armenia,2732,Mutton & Goat Meat,c114,Meat,Livestock products
1,Armenia,2733,Pigmeat,c115,Meat,Livestock products
1,Armenia,2734,Poultry Meat,c116,Meat,Livestock products
1,Armenia,2735,"Meat, Other",c117,Meat,Livestock products
1,Armenia,2736,"Offals, Edible",c118,Meat,Livestock products
1,Armenia,2737,"Fats, Animals, Raw",c119,Animal fats,Livestock products
1,Armenia,2748,Hides and skins,c120,"Hides, skins, wool",Livestock products
1,Armenia,2745,Honey,c121,Honey,Livestock products
1,Armenia,2747,Silk,c122,"Hides, skins, wool",Livestock products
1,Armenia,2960,"Fish, Seafood",c123,Fish,Fish
2,Afghanistan,2807,Rice and products,c001,Cereals,Primary crops
2,Afghanistan,2511,Wheat and products,c002,Cereals,Primary crops
2,Afghanistan,2513,Barley and products,c003,Cereals,Primary crops
2,Afghanistan,2514,Maize and products,c004,Cereals,Primary crops
2,Afghanistan,2515,Rye and products,c005,Cereals,Primary crops
2,Afghanistan,2516,Oats,c006,Cereals,Primary crops
2,Afghanistan,2517,Millet and products,c007,Cereals,Primary crops
2,Afghanistan,2518,Sorghum and products,c008,Cereals,Primary crops
2,Afghanistan,2520,"Cereals, Other",c009,Cereals,Primary crops
2,Afghanistan,2531,Potatoes and products,c010,Roots and tubers,Primary crops
2,Afghanistan,2532,Cassava and products,c011,Roots and tubers,Primary crops
2,Afghanistan,2533,Sweet potatoes,c012,Roots and tubers,Primary crops
2,Afghanistan,2534,"Roots, Other",c013,Roots and tubers,Primary crops
2,Afghanistan,2535,Yams,c014,Roots and tubers,Primary crops
2,Afghanistan,2536,Sugar cane,c015,Sugar crops,Primary crops
2,Afghanistan,2537,Sugar beet,c016,Sugar crops,Primary crops
2,Afghanistan,2546,Beans,c017,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2547,Peas,c018,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2549,"Pulses, Other and products",c019,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2551,Nuts and products,c020,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2555,Soyabeans,c021,Oil crops,Primary crops
2,Afghanistan,2552,Groundnuts,c022,Oil crops,Primary crops
2,Afghanistan,2557,Sunflower seed,c023,Oil crops,Primary crops
2,Afghanistan,2558,Rape and Mustardseed,c024,Oil crops,Primary crops
2,Afghanistan,328,Seed cotton,c025,Oil crops,Primary crops
2,Afghanistan,2560,Coconuts - Incl Copra,c026,Oil crops,Primary crops
2,Afghanistan,2561,Sesame seed,c027,Oil crops,Primary crops
2,Afghanistan,254,"Oil, palm fruit",c028,Oil crops,Primary crops
2,Afghanistan,2563,Olives (including preserved),c029,Oil crops,Primary crops
2,Afghanistan,2570,"Oilcrops, Other",c030,Oil crops,Primary crops
2,Afghanistan,2601,Tomatoes and products,c031,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2602,Onions,c032,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2605,"Vegetables, Other",c033,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2611,"Oranges, Mandarines",c034,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2612,"Lemons, Limes and products",c035,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2613,Grapefruit and products,c036,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2614,"Citrus, Other",c037,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2615,Bananas,c038,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2616,Plantains,c039,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2617,Apples and products,c040,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2618,Pineapples and products,c041,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2619,Dates,c042,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2620,Grapes and products (excl wine),c043,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2625,"Fruits, Other",c044,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2630,Coffee and products,c045,"Coffee, tea, cocoa",Primary crops
2,Afghanistan,2633,Cocoa Beans and products,c046,"Coffee, tea, cocoa",Primary crops
2,Afghanistan,2635,Tea (including mate),c047,"Coffee, tea, cocoa",Primary crops
2,Afghanistan,677,Hops,c048,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2640,Pepper,c049,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2641,Pimento,c050,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2642,Cloves,c051,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2645,"Spices, Other",c052,"Vegetables, fruit, nuts, pulses, spices",Primary crops
2,Afghanistan,2662,Jute,c053,Fibre crops,Primary crops
2,Afghanistan,2663,Jute-Like Fibres,c054,Fibre crops,Primary crops
2,Afghanistan,2664,"Soft-Fibres, Other",c055,Fibre crops,Primary crops
2,Afghanistan,2665,Sisal,c056,Fibre crops,Primary crops
2,Afghanistan,2666,Abaca,c057,Fibre crops,Primary crops
2,Afghanistan,2667,"Hard Fibres, Other",c058,Fibre crops,Primary crops
2,Afghanistan,2671,Tobacco,c059,"Tobacco, rubber",Primary crops
2,Afghanistan,2672,Rubber,c060,"Tobacco, rubber",Primary crops
2,Afghanistan,2000,Fodder crops,c061,Fodder crops,Primary crops
2,Afghanistan,2001,Grazing,c062,Grazing,Primary crops
2,Afghanistan,2559,Cottonseed,c063,Fibre crops,Crop products
2,Afghanistan,2562,Palm kernels,c064,Oil crops,Crop products
2,Afghanistan,2541,Sugar non-centrifugal,c065,"Sugar, sweeteners",Crop products
2,Afghanistan,2542,Sugar (Raw Equivalent),c066,"Sugar, sweeteners",Crop products
2,Afghanistan,2543,"Sweeteners, Other",c067,"Sugar, sweeteners",Crop products
2,Afghanistan,2571,Soyabean Oil,c068,Vegetable oils,Crop products
2,Afghanistan,2572,Groundnut Oil,c069,Vegetable oils,Crop products
2,Afghanistan,2573,Sunflowerseed Oil,c070,Vegetable oils,Crop products
2,Afghanistan,2574,Rape and Mustard Oil,c071,Vegetable oils,Crop products
2,Afghanistan,2575,Cottonseed Oil,c072,Vegetable oils,Crop products
2,Afghanistan,2576,Palmkernel Oil,c073,Vegetable oils,Crop products
2,Afghanistan,2577,Palm Oil,c074,Vegetable oils,Crop products
2,Afghanistan,2578,Coconut Oil,c075,Vegetable oils,Crop products
2,Afghanistan,2579,Sesameseed Oil,c076,Vegetable oils,Crop products
2,Afghanistan,2580,Olive Oil,c077,Vegetable oils,Crop products
2,Afghanistan,2581,Ricebran Oil,c078,Vegetable oils,Crop products
2,Afghanistan,2582,Maize Germ Oil,c079,Vegetable oils,Crop products
2,Afghanistan,2586,"Oilcrops Oil, Other",c080,Vegetable oils,Crop products
2,Afghanistan,2590,Soyabean Cake,c081,Oil cakes,Crop products
2,Afghanistan,2591,Groundnut Cake,c082,Oil cakes,Crop products
2,Afghanistan,2592,Sunflowerseed Cake,c083,Oil cakes,Crop products
2,Afghanistan,2593,Rape and Mustard Cake,c084,Oil cakes,Crop products
2,Afghanistan,2594,Cottonseed Cake,c085,Oil cakes,Crop products
2,Afghanistan,2595,Palmkernel Cake,c086,Oil cakes,Crop products
2,Afghanistan,2596,Copra Cake,c087,Oil cakes,Crop products
2,Afghanistan,2597,Sesameseed Cake,c088,Oil cakes,Crop products
2,Afghanistan,2598,"Oilseed Cakes, Other",c089,Oil cakes,Crop products
2,Afghanistan,2655,Wine,c090,Alcohol,Crop products
2,Afghanistan,2656,Beer,c091,Alcohol,Crop products
2,Afghanistan,2657,"Beverages, Fermented",c092,Alcohol,Crop products
