Country.Code;Country;GLORIA_region;GLORIA_acronyms;GLORIA_code
200;Singapore;Singapore;SGP;136
201;Somalia;Somalia;SOM;139
202;South Africa;South Africa;ZAF;162
203;Spain;Spain;ESP;53
207;Suriname;Rest of Americas;XAM;1
208;Tajikistan;Tajikistan;TJK;149
209;Swaziland;Rest of Africa;XAF;3
210;Sweden;Sweden;SWE;144
211;Switzerland;Switzerland;CHE;32
212;Syrian Arab Republic;Syria;SYR;145
213;Turkmenistan;Turkmenistan;TKM;150
214;"China; Taiwan Province of";Rest of Asia-Pacific;XAS;4
215;United Republic of Tanzania;Tanzania;TZA;153
216;Thailand;Thailand;THA;148
217;Togo;Togo;TGO;147
220;Trinidad and Tobago;Rest of Americas;XAM;1
221;Oman;Oman;OMN;118
222;Tunisia;Tunisia;TUN;151
223;Turkey;Turkey;TUR;152
225;United Arab Emirates;United Arab Emirates;ARE;8
226;Uganda;Uganda;UGA;154
228;USSR;USSR/Russian Federation (1990/1991);RUS;131
229;United Kingdom;United Kingdom;GBR;59
230;Ukraine;Ukraine;UKR;155
231;United States of America;United States of America;USA;157
233;Burkina Faso;Burkina Faso;BFA;17
234;Uruguay;Uruguay;URY;156
235;Uzbekistan;Uzbekistan;UZB;158
236;Venezuela (Bolivarian Republic of);Venezuela;VEN;159
237;Viet Nam;Viet Nam;VNM;160
238;Ethiopia;Ethiopia/DR Ethiopia (1992/1993);ETH;55
244;Samoa;Rest of Asia-Pacific;XAS;4
247;Yemen Dem;DR Yemen (Aden);DYE;46
248;Yugoslav SFR;Yugoslavia/Serbia (1991/1992);SRB;140
249;Yemen;Yemen Arab Republic/Yemen (1990/1991);YEM;161
250;Democratic Republic of the Congo;DR Congo;COD;37
251;Zambia;Zambia;ZMB;163
255;Belgium;Belgium;BEL;15
256;Luxembourg;Luxembourg;LUX;95
272;Serbia;Yugoslavia/Serbia (1991/1992);SRB;140
273;Montenegro;Rest of Europe;XEU;2
276;Sudan;Sudan/North Sudan (2010/2011);SDN;141
277;South Sudan;South Sudan;SDS;134
299;Palestine;Palestine;PSE;120
999;RoW;NA;NA;165
